*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Dec 14 09:53:10 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2015-Jan-02 00:00:00.0000 TDB
Stop  time      : A.D. 2015-Apr-29 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457024.500000000, A.D. 2015-Jan-02 00:00:00.0000, -2.775177294311248E+07,  1.442475285302215E+08, -2.488386244054139E+04, -2.970393202525634E+01, -5.814891280212770E+00,  8.483052965764237E-04,  4.899818244822206E+02,  1.468928555368495E+08, -9.835018739597275E-02,
2457024.541666667, A.D. 2015-Jan-02 01:00:00.0000, -2.785869938328322E+07,  1.442265561063989E+08, -2.488082126619667E+04, -2.969964334346611E+01, -5.836454700340872E+00,  8.412261502921403E-04,  4.899806462647391E+02,  1.468925023161347E+08, -9.788346109231667E-02,
2457024.583333333, A.D. 2015-Jan-02 02:00:00.0000, -2.796561035716018E+07,  1.442055060606108E+08, -2.487780568275601E+04, -2.969533964062764E+01, -5.858014593975631E+00,  8.340882655093473E-04,  4.899794736547895E+02,  1.468921507765156E+08, -9.741624651837662E-02,
2457024.625000000, A.D. 2015-Jan-02 03:00:00.0000, -2.807250581067625E+07,  1.441843784055564E+08, -2.487481590016931E+04, -2.969102092154181E+01, -5.879570959067319E+00,  8.268924793983778E-04,  4.899783066581911E+02,  1.468918009197369E+08, -9.694855096895227E-02,
2457024.666666667, A.D. 2015-Jan-02 04:00:00.0000, -2.817938568978144E+07,  1.441631731539422E+08, -2.487185212538391E+04, -2.968668719091697E+01, -5.901123793567766E+00,  8.196396315569565E-04,  4.899771452806762E+02,  1.468914527475170E+08, -9.648038174508368E-02,
2457024.708333333, A.D. 2015-Jan-02 05:00:00.0000, -2.828624994044255E+07,  1.441418903184819E+08, -2.486891456228495E+04, -2.968233845336921E+01, -5.922673095429414E+00,  8.123305639204936E-04,  4.899759895278885E+02,  1.468911062615480E+08, -9.601174615342450E-02,
2457024.750000000, A.D. 2015-Jan-02 06:00:00.0000, -2.839309850864282E+07,  1.441205299118968E+08, -2.486600341176987E+04, -2.967797471342265E+01, -5.944218862604360E+00,  8.049661206723790E-04,  4.899748394053849E+02,  1.468907614634956E+08, -9.554265150562644E-02,
2457024.791666667, A.D. 2015-Jan-02 07:00:00.0000, -2.849993134038164E+07,  1.440990919469153E+08, -2.486311887165159E+04, -2.967359597550970E+01, -5.965761093043406E+00,  7.975471481467267E-04,  4.899736949186334E+02,  1.468904183549992E+08, -9.507310511771319E-02,
2457024.833333333, A.D. 2015-Jan-02 08:00:00.0000, -2.860674838167414E+07,  1.440775764362734E+08, -2.486026113671809E+04, -2.966920224397137E+01, -5.987299784695111E+00,  7.900744947471061E-04,  4.899725560730151E+02,  1.468900769376720E+08, -9.460311430946418E-02,
2457024.875000000, A.D. 2015-Jan-02 09:00:00.0000, -2.871354957855098E+07,  1.440559833927145E+08, -2.485743039868772E+04, -2.966479352305756E+01, -6.008834935504847E+00,  7.825490108439581E-04,  4.899714228738225E+02,  1.468897372131007E+08, -9.413268640378436E-02,
