*******************************************************************************
 Revised: June 02, 2025                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2025-Jun-02):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375662    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat Dec 27 02:25:34 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2015-Jan-02 00:00:00.0000 TDB
Stop  time      : A.D. 2015-Apr-29 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457024.500000000, A.D. 2015-Jan-02 00:00:00.0000,  2.037428993741593E+08, -3.902798884331846E+07, -5.825914453743208E+06,  5.490992204464983E+00,  2.587881665566906E+01,  4.072769923354311E-01,  6.922422986049272E+02,  2.075290202303411E+08,  5.126017721688696E-01,
2457024.541666667, A.D. 2015-Jan-02 01:00:00.0000,  2.037626472566160E+08, -3.893482133906548E+07, -5.824447694442203E+06,  5.480053480387352E+00,  2.588090708443294E+01,  4.075892696488257E-01,  6.922484600745968E+02,  2.075308673924782E+08,  5.135993975428551E-01,
2457024.583333333, A.D. 2015-Jan-02 02:00:00.0000,  2.037823557583232E+08, -3.884164631837994E+07, -5.822979811118070E+06,  5.469114009845379E+00,  2.588299245493107E+01,  4.079014503243350E-01,  6.922546335234142E+02,  2.075327181458735E+08,  5.145969140932328E-01,
2457024.625000000, A.D. 2015-Jan-02 03:00:00.0000,  2.038020248765799E+08, -3.874846379944347E+07, -5.821510804107361E+06,  5.458173783319544E+00,  2.588507278032416E+01,  4.082135414377550E-01,  6.922608189499922E+02,  2.075345724901111E+08,  5.155943068602293E-01,
2457024.666666667, A.D. 2015-Jan-02 04:00:00.0000,  2.038216546086390E+08, -3.865527380041756E+07, -5.820040673717460E+06,  5.447232786983655E+00,  2.588714805866958E+01,  4.085255509419401E-01,  6.922670163527408E+02,  2.075364304247144E+08,  5.165915594648958E-01,
2457024.708333333, A.D. 2015-Jan-02 05:00:00.0000,  2.038412449517133E+08, -3.856207633949403E+07, -5.818569420233831E+06,  5.436291013661348E+00,  2.588921827607830E+01,  4.088374825277814E-01,  6.922732257299202E+02,  2.075382919491616E+08,  5.175886643859300E-01,
2457024.750000000, A.D. 2015-Jan-02 06:00:00.0000,  2.038607959030093E+08, -3.846887143492351E+07, -5.817097043939022E+06,  5.425348467264529E+00,  2.589128341576701E+01,  4.091493341835015E-01,  6.922794470797704E+02,  2.075401570629253E+08,  5.185856256549404E-01,
2457024.791666667, A.D. 2015-Jan-02 07:00:00.0000,  2.038803074597661E+08, -3.837565910500768E+07, -5.815623545131221E+06,  5.414405161403677E+00,  2.589334346698444E+01,  4.094610996152994E-01,  6.922856804006359E+02,  2.075420257655090E+08,  5.195824558007985E-01,
