*******************************************************************************
 Revised: Apr 03, 2015           MESSENGER Spacecraft                      -236
                            http://messenger.jhuapl.edu/

 BACKGROUND:
  MESSENGER was launched from Cape Canaveral Air Force Station, Fla., on 
  August 3, 2004. It returned to Earth for a gravity boost 2005-Aug-2, 
  (2,347 kilometers over central Mongolia at 3:13 p.m. EDT), then flew past 
  Venus twice, on October 24, 2006 and June 2007. Mercury orbit insertion  
  occurred March 18, 2011.

  Three Mercury flybys, each followed about two months later by a course 
  correction maneuver, put MESSENGER in position to enter Mercury orbit in 
  March 2011. During the flybys - set for January 14, 2008 (19:05 UTC, 
  200.6 km altitude), October 2008, and September 29, 2009 (21:56 UTC, 228 km
  altitude) - MESSENGER will map nearly the entire planet in color, image 
  most of the areas unseen by Mariner 10, and measure the composition of the 
  surface, atmosphere and magnetosphere. 

  MESSENGER's 12-month orbit covers two Mercury solar days; one Mercury solar 
  day, from sunrise to sunrise, is equal to 176 Earth days. The first solar 
  day is focused on obtaining global map products from the different 
  instruments, and the second focuses on targeted science investigations.

 MESSENGER SPACECRAFT:
  http://messenger.jhuapl.edu/the_mission/spacecraft_design.html

 SPACECRAFT TRAJECTORY:
  A switch from DE405 to DE423 occurs at 2009-Dec-07 23:59:00 UTC

  CAUTION: Osculating elements (only) may not be suitable for high precision 
  applications like reduction of spacecraft measurements because Horizons uses
  mass parameters (GM) from DE431 to determine osculating elements. This issue
  does NOT affect Horizons vector or observer tables over the spacecraft 
  mission interval.

  Trajectory provided by JHU/APL on Apr 02, 2015:
  File/Model                            Start         Stop
  --------------------------------      -----------   -----------
  msgr_20040803_20150501_od423sc_0      2004 AUG 03   2015 May 01 
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Dec 25 14:07:39 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: MESSENGER (spacecraft) (-236)   {source: MESSENGER_MERGED_2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2015-Jan-02 00:00:00.0000 TDB
Stop  time      : A.D. 2015-Apr-29 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457024.500000000, A.D. 2015-Jan-02 00:00:00.0000,  5.211180075009849E+07, -2.671913356647858E+07, -6.946429619191507E+06,  1.370762641030713E+01,  4.535322051523088E+01,  3.033528467963862E+00,  1.967124719386149E+02,  5.897291548173338E+07, -8.792881412261840E+00,
2457024.541666667, A.D. 2015-Jan-02 01:00:00.0000,  5.216101293554412E+07, -2.655568955824963E+07, -6.934100351224588E+06,  1.357892901018865E+01,  4.546655116481019E+01,  3.908853540594622E+00,  1.966064713297048E+02,  5.894113729863873E+07, -8.927708780172498E+00,
2457024.583333333, A.D. 2015-Jan-02 02:00:00.0000,  5.220772106190673E+07, -2.639127260527647E+07, -6.916934072804239E+06,  1.124561013552197E+01,  4.614066250211589E+01,  5.729314025527954E+00,  1.964913200097250E+02,  5.890661580138004E+07, -1.137788011472191E+01,
2457024.625000000, A.D. 2015-Jan-02 03:00:00.0000,  5.224354770300813E+07, -2.622464489899483E+07, -6.907037605025299E+06,  1.089289040594766E+01,  4.599757866252222E+01,  1.204686506517241E+00,  1.963451158308908E+02,  5.886278489123747E+07, -1.096631332151487E+01,
2457024.666666667, A.D. 2015-Jan-02 04:00:00.0000,  5.228496780283005E+07, -2.605948822531234E+07, -6.902457147463406E+06,  1.191957955441003E+01,  4.580591853223155E+01,  1.412375410801069E+00,  1.962212925713519E+02,  5.882566361190271E+07, -9.863260123877135E+00,
2457024.708333333, A.D. 2015-Jan-02 05:00:00.0000,  5.232867692544860E+07, -2.589467656318552E+07, -6.896746523803185E+06,  1.231475453603190E+01,  4.576736828412589E+01,  1.762779440855475E+00,  1.961058979779699E+02,  5.879106918311282E+07, -9.404044491730019E+00,
2457024.750000000, A.D. 2015-Jan-02 06:00:00.0000,  5.237341410701402E+07, -2.572991215005794E+07, -6.889750332061248E+06,  1.251941303368853E+01,  4.577311758191224E+01,  2.127503084696858E+00,  1.959947105684340E+02,  5.875773603630941E+07, -9.134318173514149E+00,
2457024.791666667, A.D. 2015-Jan-02 07:00:00.0000,  5.241871182781300E+07, -2.556508378370659E+07, -6.881382123031050E+06,  1.263466134406885E+01,  4.580132679077759E+01,  2.531781775066051E+00,  1.958861582746014E+02,  5.872519287731980E+07, -8.957726945566487E+00,
2457024.833333333, A.D. 2015-Jan-02 08:00:00.0000,  5.246430808830903E+07, -2.540011896922556E+07, -6.871404057765246E+06,  1.268505642669236E+01,  4.584980370530149E+01,  3.036525925114017E+00,  1.957792748441825E+02,  5.869315003099504E+07, -8.858665050887325E+00,
