*******************************************************************************
 Revised: July 31, 2013                  Sun                                 10

 PHYSICAL PROPERTIES (updated 2024-Oct-30):
  GM, km^3/s^2          = 132712440041.93938  Mass, 10^24 kg        = ~1988410
  Vol. mean radius, km  = 695700              Volume, 10^12 km^3    = 1412000
  Solar radius (IAU2015)= 695700 km           Mean density, g/cm^3  = 1.408
  Radius (photosphere)  = 696500 km           Angular diam at 1 AU  = 1919.3"
  Photosphere temp., K  = 6600 (bottom)       Photosphere temp., K  = 4400(top)
  Photospheric depth    = ~500 km             Chromospheric depth   = ~2500 km
  Flatness, f           = 0.00005             Adopted sid. rot. per.= 25.38 d
  Surface gravity       =  274.0 m/s^2        Escape speed, km/s    =  617.7
  Pole (RA,DEC), deg.   = (286.13, 63.87)     Obliquity to ecliptic = 7.25 deg.
  Solar constant (1 AU) = 1367.6 W/m^2        Luminosity, 10^24 J/s = 382.8
  Mass-energy conv rate = 4.260 x 10^9 kg/s   Effective temp, K     = 5772
  Sunspot cycle         = 11.4 yr             Cycle 24 sunspot min. = 2008 A.D.

  Motion relative to nearby stars = apex : R.A.= 271 deg.; DEC.= +30 deg.
                                    speed: 19.4 km/s (0.0112 au/day)
  Motion relative to 2.73K BB/CBR = apex : l= 264.7 +- 0.8; b= 48.2 +- 0.5 deg.
                                    speed: 369 +-11 km/s
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Dec 14 09:53:39 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2015-Jan-02 00:00:00.0000 TDB
Stop  time      : A.D. 2015-Apr-29 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457024.500000000, A.D. 2015-Jan-02 00:00:00.0000,  4.254990464166031E+05, -1.271885261047804E+05, -2.052596116326707E+04,  6.871339338453708E-03,  9.078458536004842E-03, -1.686127140231209E-04,  1.482945367826918E+00,  4.445758369005460E+05,  3.987021710393415E-03,
2457024.541666667, A.D. 2015-Jan-02 01:00:00.0000,  4.255237824315790E+05, -1.271558428377720E+05, -2.052656816313686E+04,  6.870891212406661E-03,  9.078912039793243E-03, -1.686094364340713E-04,  1.482993247385436E+00,  4.445901908310819E+05,  3.987384145127773E-03,
2457024.583333333, A.D. 2015-Jan-02 02:00:00.0000,  4.255485168333950E+05, -1.271231579379815E+05, -2.052717515121357E+04,  6.870443138550546E-03,  9.079365637218546E-03, -1.686061623127210E-04,  1.483041131296262E+00,  4.446045460664071E+05,  3.987746593311032E-03,
2457024.625000000, A.D. 2015-Jan-02 03:00:00.0000,  4.255732496222390E+05, -1.270904714050713E+05, -2.052778212750963E+04,  6.869995116794365E-03,  9.079819328588938E-03, -1.686028916305727E-04,  1.483089019559557E+00,  4.446189026065698E+05,  3.988109054810810E-03,
2457024.666666667, A.D. 2015-Jan-02 04:00:00.0000,  4.255979807982984E+05, -1.270577832387025E+05, -2.052838909203740E+04,  6.869547147046406E-03,  9.080273114213605E-03, -1.685996243589835E-04,  1.483136912175481E+00,  4.446332604516175E+05,  3.988471529493857E-03,
2457024.708333333, A.D. 2015-Jan-02 05:00:00.0000,  4.256227103617601E+05, -1.270250934385354E+05, -2.052899604480909E+04,  6.869099229214233E-03,  9.080726994402714E-03, -1.685963604691515E-04,  1.483184809144190E+00,  4.446476196015977E+05,  3.988834017226053E-03,
2457024.750000000, A.D. 2015-Jan-02 06:00:00.0000,  4.256474383128109E+05, -1.269924020042290E+05, -2.052960298583681E+04,  6.868651363204636E-03,  9.081180969467431E-03, -1.685930999321197E-04,  1.483232710465842E+00,  4.446619800565570E+05,  3.989196517872360E-03,
2457024.791666667, A.D. 2015-Jan-02 07:00:00.0000,  4.256721646516372E+05, -1.269597089354411E+05, -2.053020991513257E+04,  6.868203548923645E-03,  9.081635039719916E-03, -1.685898427187761E-04,  1.483280616140589E+00,  4.446763418165417E+05,  3.989559031296824E-03,
